Hospital,insurance_provider,total_billing,pct_of_hospital_revenue
"Ali, Harris and Diaz",Cigna,14079.82,100
"Ali, Williams and Martinez",Aetna,2504.67,100
Ali-Bray,Medicare,25466.29,100
Ali-Gonzalez,Cigna,45780.36,100
Allen Group,Aetna,31852.01,59.15
Allen Group,UnitedHealthcare,21994.33,40.85
Allen Inc,Blue Cross,98099.68,82.92
Allen Inc,UnitedHealthcare,20200.03,17.08
Allen LLC,UnitedHealthcare,28674.76,100
Allen Ltd,UnitedHealthcare,47186.64,53.32
Allen Ltd,Medicare,41305.82,46.68
Allen PLC,UnitedHealthcare,69955.69,43.44
Allen PLC,Cigna,32702.79,20.31
Allen PLC,Blue Cross,29264.77,18.17
Allen and Sons,UnitedHealthcare,27654.43,80.79
Allen and Sons,Cigna,6575.14,19.21
"Allen, Brown and Rhodes",Medicare,40492.89,100
"Allen, Carter and Kennedy",Cigna,37768.32,100
"Allen, Collins and Morris",Medicare,44225.22,100
"Allen, Dalton and Burnett",Aetna,11937.7,100
"Allen, Hays and Fletcher",Cigna,28435.24,100
"Allen, Henry and Vang",UnitedHealthcare,28022.08,100
"Allen, Hood and Mendez",Aetna,46396.11,100
"Allen, Joyce and Bell",Cigna,39186.46,100
"Allen, Robinson and Campbell",Cigna,43311.76,100
"Allen, Sanchez and Rubio",Blue Cross,31598.67,100
"Allen, Schneider and Robinson",Cigna,26531.7,100
"Allen, Smith and Avila",Medicare,35268.98,100
"Allen, Vargas and George",Blue Cross,9840.83,100
"Allen, Wilson and Carpenter",Aetna,17068.19,100
"Allen, Young and Willis",Aetna,43274.21,100
Allen-Adams,Cigna,31870.25,100
Allen-Becker,Aetna,32421.41,100
Allen-Collins,Aetna,23482.82,100
Allen-Dillon,Cigna,13969.26,100
Allen-Johnson,Blue Cross,33708.38,100
Allen-Jordan,Blue Cross,35038.34,100
Allen-Kelley,Cigna,8347.55,100
Allen-Moran,Blue Cross,20388.03,100
Allen-Murphy,Cigna,29906.4,100
Allen-Oneal,Aetna,26768.41,100
Allen-Smith,Aetna,19613.18,100
Allen-Stone,Medicare,40827.01,100
Allen-Waller,UnitedHealthcare,19803.82,100
Allen-Williams,Aetna,22444.63,100
Allison Ltd,Aetna,38332.05,100
Allison-Goodwin,UnitedHealthcare,20629.37,100
Alvarado Group,Cigna,43214.85,100
Alvarado Inc,Cigna,10615.97,100
Alvarado LLC,Blue Cross,15801.84,100
Alvarado PLC,Blue Cross,44495.66,100
Alvarado and Sons,Aetna,46930.7,100
"Alvarado, Allen and Gordon",UnitedHealthcare,26876.24,100
"Alvarado, Benson and Arias",Medicare,26980.77,100
"Alvarado, Reese and Dillon",Blue Cross,12291.3,100
"Alvarado, Wilson and Mcdonald",Aetna,27475.72,100
Alvarado-Garcia,Medicare,32616.77,100
Alvarado-Meza,UnitedHealthcare,16330.96,100
Alvarado-Pace,UnitedHealthcare,45697.99,100
Alvarez Group,Medicare,8851.61,100
Alvarez Inc,Blue Cross,49275.99,39.85
Alvarez Inc,Cigna,49225.38,39.81
Alvarez Inc,Medicare,25161.66,20.35
Alvarez Ltd,Aetna,16607.92,54.31
Alvarez Ltd,Cigna,13974.7,45.69
Alvarez PLC,Blue Cross,6371.66,100
"Alvarez, Aguilar and Santiago",Medicare,32013.08,100
"Alvarez, Chambers and Pittman",Blue Cross,43877.65,100
"Alvarez, Clark and Lucero",Blue Cross,47936.28,100
"Alvarez, Doyle and Keith",UnitedHealthcare,31427.66,100
"Alvarez, Fletcher and Mcgee",UnitedHealthcare,38020.69,100
"Alvarez, Love and Cowan",Cigna,38674.5,100
"Alvarez, Norman and Barrera",Aetna,17219.17,100
"Alvarez, Romero and Frederick",Aetna,2311.08,100
Alvarez-Hernandez,Medicare,20089.27,100
Alvarez-Holland,Medicare,36578.77,100
Alvarez-Hubbard,Medicare,26732,100
Alvarez-Rodriguez,Medicare,22030.03,100
Alvarez-Taylor,Blue Cross,28162.98,100
Alvarez-Vazquez,Medicare,24921.32,100
Andersen Ltd,Cigna,49275.49,100
"Andersen, Shaw and Bennett",Cigna,5077.59,100
Andersen-Hart,Cigna,40100.43,100
Anderson Inc,Medicare,20720.59,89
Anderson Inc,Blue Cross,2559.83,11
Anderson LLC,Aetna,26790.39,49.13
Anderson LLC,UnitedHealthcare,15747.93,28.88
Anderson LLC,Medicare,11989.53,21.99
Anderson Ltd,UnitedHealthcare,18857.83,100
Anderson PLC,UnitedHealthcare,41066.39,100
Anderson and Sons,Aetna,78962.87,39.96
Anderson and Sons,Medicare,49319,24.96
Anderson and Sons,UnitedHealthcare,41288.84,20.89
"Anderson, Becker and Stokes",Medicare,42732.72,100
"Anderson, Boyd and Evans",Blue Cross,1207.38,100
"Anderson, Brooks and Reed",Aetna,24172.8,100
"Anderson, Brown and Fisher",Aetna,13749.97,100
"Anderson, Bryant and Merritt",Cigna,25260.59,100
"Anderson, Burgess and Jones",Aetna,13318.2,100
"Anderson, Chase and Anderson",Medicare,9991.07,100
"Anderson, Dominguez and Lester",Aetna,12281.14,100
"Anderson, Francis and Mendoza",Medicare,19055.31,100
"Anderson, Garcia and Nunez",Cigna,17838.97,100
"Anderson, Green and Anderson",UnitedHealthcare,33024.66,100
"Anderson, Herrera and Stone",Blue Cross,17768.2,100
"Anderson, Moore and Miller",Blue Cross,48466.95,100
"Anderson, Nguyen and Watkins",Blue Cross,31200.18,100
"Anderson, Nichols and Bradley",Medicare,39312.83,100
"Anderson, Peterson and Rowland",Blue Cross,29924.42,100
"Anderson, Reed and Wallace",Blue Cross,29485.76,100
"Anderson, Ritter and Lee",Cigna,35351.78,100
"Anderson, Stone and Chen",Blue Cross,48422.89,100
"Anderson, Strong and Ingram",Cigna,38860.18,100
"Anderson, Turner and Smith",UnitedHealthcare,40029.77,100
"Anderson, Wright and Williams",UnitedHealthcare,32694.66,100
Anderson-Alvarez,Aetna,44665.58,100
Anderson-Baxter,Cigna,18171.28,100
Anderson-Brown,Blue Cross,45332.91,100
Anderson-Cain,Cigna,45229.44,100
Anderson-Coleman,Aetna,34897.34,100
Anderson-Ellis,Cigna,1616.98,100
Anderson-Farmer,Cigna,20246.2,100
Anderson-Garcia,UnitedHealthcare,22622.77,100
Anderson-Harrison,UnitedHealthcare,42274.33,100
Anderson-Huffman,Aetna,17419.28,100
Anderson-Jackson,Medicare,36441.78,100
Anderson-Jenkins,Medicare,5651.69,100
Anderson-Lynch,Cigna,39210.06,100
Anderson-Mason,Blue Cross,24913.55,100
Anderson-Miller,UnitedHealthcare,20378.91,100
Anderson-Padilla,Aetna,45917.33,100
Anderson-Peters,Blue Cross,1422.31,100
Anderson-Richards,Cigna,43560.9,100
Anderson-Ross,Cigna,9848.8,100
Anderson-Roth,Aetna,36495.69,100
Anderson-Smith,Cigna,38779.47,54.1
Anderson-Smith,UnitedHealthcare,32904.54,45.9
Anderson-Terry,Blue Cross,15591.87,100
"Andrade, Kirby and Turner",Aetna,35304.1,100
Andrade-Lee,UnitedHealthcare,37979.31,100
Andrews Inc,Blue Cross,42689.63,100
Andrews LLC,Medicare,30118.14,100
Andrews PLC,UnitedHealthcare,23191.7,100
Andrews and Sons,Cigna,30012.56,100
"Andrews, Clark and Mclaughlin",UnitedHealthcare,7111.76,100
"Andrews, Kim and Church",Aetna,24706.98,100
"Andrews, Mcguire and Turner",Cigna,27593.65,100
"Andrews, Wilcox and Ryan",Aetna,39136.09,100
"Andrews, Williams and French",Aetna,45856.61,100
Andrews-Brown,Aetna,49865.85,55.67
Andrews-Brown,Cigna,39700.13,44.33
Andrews-Bush,Blue Cross,19340.95,100
Andrews-Conner,Blue Cross,34738.48,100
Andrews-Graves,Blue Cross,20050.03,100
Andrews-Miller,Aetna,12598.4,100
Andrews-Ramos,Blue Cross,37902.61,100
Anthony Ltd,Aetna,49536.82,74.24
Anthony Ltd,Medicare,17191.56,25.76
"Anthony, Frye and Young",Cigna,37424.9,100
"Anthony, Long and Smith",Cigna,26506.96,100
Anthony-Garner,Blue Cross,32480.99,100
Anthony-Sparks,Aetna,10078.83,100
Archer Inc,Cigna,17684.76,100
Archer Ltd,Blue Cross,7843.41,100
Archer-Oconnell,Cigna,18752.73,100
Archer-Suarez,Cigna,5942.49,100
Arellano Ltd,Aetna,5114.73,100
"Arellano, Murillo and Johnson",Cigna,40760.73,100
Arellano-Mahoney,Aetna,49995.9,100
Arias Inc,Blue Cross,17200.97,100
Armstrong Group,Cigna,46162.23,100
Armstrong Inc,UnitedHealthcare,22292.42,100
Armstrong PLC,Medicare,23163.81,71.39
Armstrong PLC,Cigna,9281.86,28.61
"Armstrong, Esparza and Rojas",Blue Cross,3180.58,100
"Armstrong, Ortiz and Howard",Aetna,15819.02,100
Armstrong-Adams,Cigna,47672.93,100
Armstrong-Campbell,Cigna,27346.34,100
Armstrong-Holt,Cigna,27390.08,100
Armstrong-Johnson,Medicare,40684.51,100
Armstrong-Mcguire,Aetna,19121.38,100
Arnold Group,Cigna,44957.29,46.04
Arnold Group,UnitedHealthcare,36218.1,37.09
Arnold Group,Blue Cross,16471.38,16.87
Arnold LLC,Cigna,31446.45,80.36
Arnold LLC,Aetna,7686.55,19.64
Arnold PLC,UnitedHealthcare,24158.11,100
"Arnold, Brown and Williams",Cigna,18055.32,100
"Arnold, Conner and Morris",UnitedHealthcare,22542.05,100
"Arnold, Hardy and Bowers",Aetna,30200.85,100
"Arnold, Haynes and Phillips",UnitedHealthcare,45411.31,100
"Arnold, Jenkins and Petersen",Cigna,49024.23,100
"Arnold, Pugh and Brown",UnitedHealthcare,25768.15,100
"Arnold, Woods and Young",Cigna,45267.71,100
Arnold-Adams,Cigna,37463.35,100
Arnold-Bell,Blue Cross,49608.49,100
Arnold-Davis,Aetna,34261.43,100
Arnold-Hill,Cigna,12892.98,100
Arnold-Mack,Cigna,16339.49,100
Arnold-Martinez,Medicare,45809.66,100
Arnold-Ryan,Aetna,33967.62,100
Arnold-Taylor,Cigna,49853.5,100
Arnold-Williams,Blue Cross,23913.34,100
Arroyo Inc,UnitedHealthcare,5524.87,100
Arroyo-Anderson,Cigna,17631.08,100
Ashley Group,UnitedHealthcare,12276.71,100
Ashley LLC,Aetna,31138.53,100
"Ashley, Jones and Dunn",Medicare,34819.58,100
Ashley-Mills,Blue Cross,23954.88,100
Ashley-Simon,Blue Cross,26868.5,100
Atkins Group,Aetna,9428.84,100
Atkins Ltd,UnitedHealthcare,4912.83,100
"Atkins, Harrington and Carson",Blue Cross,31465.62,100
"Atkins, Hood and Gordon",Aetna,21891.33,100
Atkins-Mendez,UnitedHealthcare,6450.5,100
Atkinson Group,Blue Cross,40405.51,100
Atkinson PLC,Aetna,9870.17,100
"Atkinson, Kline and Juarez",Blue Cross,13669.66,100
Atkinson-Henderson,Cigna,6082.67,100
Atkinson-Johnson,Aetna,28900.62,100
Atkinson-Walker,UnitedHealthcare,23325.62,100
Austin LLC,Medicare,31097.84,64.91
Austin LLC,UnitedHealthcare,11744.96,24.51
Austin LLC,Blue Cross,5067.67,10.58
Austin Ltd,UnitedHealthcare,41116.12,100
"Austin, Daniels and Pham",Aetna,46708.81,100
"Austin, Hernandez and Hurley",UnitedHealthcare,9393.38,100
"Austin, Jackson and Ramirez",Blue Cross,28562.11,100
"Austin, Kane and Peterson",UnitedHealthcare,18633.17,100
Austin-Allen,Blue Cross,37077.45,100
Austin-Black,Medicare,49793.61,100
Austin-Gonzalez,Cigna,23440.66,100
Austin-Perez,Aetna,49488.2,100
Avery-Henson,Medicare,22181.92,100
Avila Group,Medicare,14797.02,100
Avila PLC,Cigna,16013.55,100
"Avila, Davis and Washington",Medicare,37697.43,100
"Avila, Martin and Ingram",Aetna,26175.37,100
"Avila, Pollard and Medina",UnitedHealthcare,20514.58,100
"Avila, Welch and Jordan",Blue Cross,21970.21,100
Avila-Lester,Cigna,20760.25,100
Ayala LLC,Blue Cross,47696.63,100
Ayala PLC,Aetna,42784.64,100
"Ayala, Clark and Woods",Blue Cross,3136.04,100
"Ayala, Hanson and Nguyen",Blue Cross,2819.27,100
"Ayala, Hernandez and Collins",UnitedHealthcare,20939.86,100
Ayala-Baker,Aetna,37629.89,100
Ayala-Christensen,Cigna,13673.86,100
Ayala-Gibbs,Medicare,49608.86,100
Ayala-Hill,Cigna,11784.94,100
Ayala-Miller,Medicare,31116.5,100
Ayers Group,Blue Cross,16917.9,100
Ayers Ltd,Aetna,47874.99,100
Ayers-Martin,Blue Cross,35211.17,100
Ayers-Melendez,Aetna,8736.11,100
Bailey Group,UnitedHealthcare,49250.11,44.86
Bailey Group,Aetna,32987.16,30.05
Bailey Group,Blue Cross,27536.81,25.08
Bailey Inc,UnitedHealthcare,39798.26,100
Bailey LLC,UnitedHealthcare,28720.35,61.09
Bailey LLC,Medicare,18293.23,38.91
Bailey PLC,Aetna,12341.46,100
Bailey and Sons,UnitedHealthcare,69461.54,100
"Bailey, Harper and Williams",Blue Cross,3273.5,100
"Bailey, Jacobson and Gibson",Cigna,27643.35,100
"Bailey, Liu and Norris",Blue Cross,38173.93,100
"Bailey, Medina and Ramos",UnitedHealthcare,2924.46,100
"Bailey, Mills and Morgan",Blue Cross,6639.06,100
"Bailey, Perry and Hamilton",Cigna,44564.5,100
"Bailey, Robinson and Rodriguez",Medicare,34278.7,100
"Bailey, Smith and Dennis",Medicare,11011.46,100
"Bailey, Wood and Lee",Blue Cross,17594.43,100
Bailey-Bell,Blue Cross,10428.66,100
Bailey-Martin,Aetna,10791.33,100
Bailey-Mcintyre,Blue Cross,34385.61,100
Bailey-Powers,Medicare,48599.59,100
Baird LLC,Medicare,29057.34,100
Baird-Richard,Blue Cross,42537.9,100
Baker Group,UnitedHealthcare,86741.79,54.81
Baker Group,Aetna,71530.88,45.19
Baker Inc,UnitedHealthcare,29905.18,35.35
Baker Inc,Cigna,29197.72,34.52
Baker Inc,Aetna,25489.36,30.13
Baker LLC,Medicare,48388.57,100
Baker Ltd,Aetna,79474.61,57.73
Baker Ltd,UnitedHealthcare,47395.18,34.43
Baker Ltd,Medicare,10801.53,7.85
Baker and Sons,Aetna,36491.2,54.71
Baker and Sons,UnitedHealthcare,30202.06,45.29
"Baker, Benjamin and Little",Aetna,40872.67,100
"Baker, Briggs and Mathews",Aetna,38453.17,100
"Baker, Brown and Bradford",UnitedHealthcare,33993.74,100
"Baker, Carr and Wells",UnitedHealthcare,10528.69,100
"Baker, Fuentes and Johnson",Aetna,40821.41,100
"Baker, Mcgee and Harvey",Blue Cross,39942.28,100
"Baker, Mckee and Myers",Cigna,21661.84,100
"Baker, Parker and Mcgee",UnitedHealthcare,31644.8,100
"Baker, Patton and Martin",Blue Cross,5930.11,100
"Baker, Sawyer and Morrison",Medicare,19451.28,100
"Baker, Shields and Hall",UnitedHealthcare,38265.87,100
"Baker, Stevenson and Church",Medicare,48554.42,100
"Baker, Terry and Bond",UnitedHealthcare,36688.41,100
"Baker, Walker and Bass",Medicare,10039.13,100
"Baker, Wheeler and Blackburn",Cigna,4148.22,100
"Baker, Wright and Mendoza",Aetna,8904.33,100
Baker-Aguirre,Medicare,18898.6,100
Baker-Byrd,Medicare,15823.58,100
Baker-Carroll,Blue Cross,46299.94,100
Baker-Hunt,Medicare,4956.58,100
Baker-Jones,Medicare,39549.45,100
Baker-Kirk,Cigna,12749.56,100
Baker-Nelson,Cigna,25853.71,100
Baker-Perez,UnitedHealthcare,48048.85,100
Baker-Roach,Cigna,22621.54,100
Baker-Schultz,Cigna,41840.74,100
Baker-Vasquez,UnitedHealthcare,13610.32,100
Baldwin LLC,Blue Cross,16725.84,100
"Baldwin, Lewis and Davis",Cigna,41430.01,100
"Baldwin, Lyons and Campbell",UnitedHealthcare,42727.06,100
Baldwin-Jones,Blue Cross,15802.58,100
Ball PLC,Medicare,20400.89,100
Ball and Sons,Medicare,26726.35,100
"Ball, Griffith and Frederick",Cigna,39377.33,100
"Ball, Hodges and Cain",Blue Cross,35678.65,100
Ball-Bowers,Cigna,41310.6,100
Ball-Cooley,Blue Cross,40008.78,100
Ball-Morris,Blue Cross,13744.73,100
Ballard Group,Cigna,49668.6,100
Ballard PLC,Medicare,49898.23,100
Ballard and Sons,Cigna,37919.63,100
"Ballard, Baker and Davis",Blue Cross,41498.12,100
"Ballard, Garcia and Villegas",Blue Cross,41834.22,100
Ballard-Pacheco,Cigna,18219.78,100
Banks Ltd,Cigna,33857.49,100
"Banks, Dominguez and Ryan",Cigna,45282.58,100
"Banks, Garcia and Payne",Cigna,30381.03,100
"Banks, Williams and Mays",Blue Cross,36579.24,100
Banks-Avila,UnitedHealthcare,26641.21,100
Banks-Berry,Blue Cross,37499.03,100
Banks-Cole,Aetna,39061.51,100
Banks-Hughes,Aetna,31303.78,100
Banks-Johnson,Blue Cross,2857.31,100
Banks-Moreno,Cigna,29332.32,100
Banks-White,UnitedHealthcare,18810.16,100
"Barajas, Beck and Watts",UnitedHealthcare,24384.26,100
"Barajas, Molina and Dixon",Cigna,44480.9,100
"Barajas, Norman and Hayden",Cigna,41078.15,100
Barber LLC,UnitedHealthcare,20109.17,100
Barber Ltd,Medicare,46362.2,100
"Barber, Clark and Lopez",Aetna,17765.33,100
"Barber, Franklin and Hale",Aetna,17587.51,100
"Barber, Hunter and Myers",Blue Cross,43932.49,100
"Barber, Murphy and Perez",Medicare,16919.67,100
Barber-Sanchez,Medicare,17719.19,100
Barber-Stephenson,UnitedHealthcare,27748.85,100
Barker-Duran,Medicare,37546.11,100
Barker-Harper,UnitedHealthcare,7834.14,100
Barker-Torres,Blue Cross,23931.5,100
Barnes Group,Medicare,39832.71,100
Barnes Inc,Aetna,17367.01,100
Barnes LLC,Blue Cross,38654.63,73.81
Barnes LLC,Aetna,13718.96,26.19
Barnes and Sons,Blue Cross,25956.86,100
"Barnes, Chen and Nichols",Cigna,16533.66,100
"Barnes, Davis and West",Cigna,32388.09,100
"Barnes, Ferguson and Davis",Aetna,44738.75,100
"Barnes, Martin and Clark",UnitedHealthcare,47263.47,100
"Barnes, Perry and Barnes",Blue Cross,11190.7,100
"Barnes, Pollard and Lyons",Medicare,26808.06,100
"Barnes, Santiago and Bryant",UnitedHealthcare,43392.62,100
Barnes-Brooks,Medicare,21291.26,100
Barnes-Burns,UnitedHealthcare,19355.54,100
Barnes-Cervantes,Cigna,37857.19,100
Barnes-Harrison,Blue Cross,40948.34,100
Barnes-Mccoy,Cigna,14412.42,100
Barnes-Meza,Medicare,8651.44,100
Barnes-Peterson,UnitedHealthcare,8537.58,100
Barnes-Robbins,Cigna,31298.85,100
Barnes-Turner,Cigna,12400.9,100
Barnett Inc,Cigna,29644.05,100
Barnett Ltd,Cigna,24125.69,100
"Barnett, Davis and Elliott",Medicare,6962.85,100
"Barnett, Norman and Meyer",Aetna,45316.82,100
"Barnett, Williams and Jackson",Cigna,8317.64,100
Barnett-Davis,Cigna,22577.6,100
Barnett-Howard,Blue Cross,33998.32,100
Barnett-Lewis,Blue Cross,9245.93,100
Barnett-Young,Blue Cross,14445.17,100
"Barr, Sanchez and Martin",Aetna,46989.4,100
Barr-Beltran,Medicare,7843.6,100
Barr-Sampson,Aetna,32236.78,100
Barr-Thompson,UnitedHealthcare,48381.62,100
Barr-Weber,Medicare,36269.15,100
Barrera Group,Aetna,23141.4,100
Barrera Inc,Aetna,46345.3,100
Barrera Ltd,Cigna,28004.34,100
"Barrett, Douglas and Wallace",Blue Cross,44180.09,100
"Barrett, Pena and Montes",Cigna,25801.98,100
Barrett-Johnson,UnitedHealthcare,14709.22,100
Barrett-Parks,Medicare,19626.49,100
Barrett-Smith,Cigna,42956.34,100
"Barron, Graham and Green",Aetna,20851.09,100
"Barron, Wood and Alvarez",Cigna,13297.98,100
Barron-Poole,Aetna,1535.78,100
Barry LLC,UnitedHealthcare,41813.4,100
"Barry, Jackson and Hughes",Cigna,23153.24,100
Barry-Aguilar,Cigna,14520.27,100
Bartlett PLC,Blue Cross,16056.14,100
Bartlett and Sons,Blue Cross,53746.51,100
Barton LLC,Aetna,24239.17,100
Barton Ltd,Medicare,34316.53,58.47
Barton Ltd,UnitedHealthcare,24378.81,41.53
"Barton, Lee and Hunt",UnitedHealthcare,17358,100
"Barton, Reed and Fitzpatrick",Aetna,12586.4,100
Barton-Kidd,Cigna,48586.78,100
Bass and Sons,Aetna,11618.1,100
"Bass, Coleman and Paul",Blue Cross,4348.04,100
"Bass, Larson and Williams",UnitedHealthcare,17166.8,100
"Bass, Medina and Lang",Cigna,6345.97,100
"Bass, Ruiz and Phillips",Cigna,25062.9,100
"Bass, Smith and Larson",Blue Cross,40659.62,100
Bates Group,Cigna,27717.01,100
Bates LLC,Aetna,1704.48,100
Bates Ltd,Blue Cross,32784.46,100
"Bates, Lewis and Richardson",Cigna,33155.97,100
Bates-Dickson,UnitedHealthcare,19094.74,100
Bates-Hernandez,UnitedHealthcare,37787.36,100
Bates-Tucker,UnitedHealthcare,36463.28,100
"Bauer, Dunlap and Flynn",Medicare,6112.93,100
"Bauer, Farmer and Weaver",Blue Cross,37405.92,100
"Bauer, Gill and Thomas",UnitedHealthcare,27947.61,100
"Bauer, Lee and Cantrell",Cigna,40482.86,100
"Bauer, Lewis and Morrison",Blue Cross,43543.85,100
"Bauer, Smith and Hernandez",Cigna,5404.23,100
Bauer-Clark,Blue Cross,29633.27,100
Bautista-Sullivan,UnitedHealthcare,20323,100
Baxter Group,Aetna,32133.79,100
Baxter and Sons,Aetna,41283.05,100
Baxter-Bell,Blue Cross,43593.78,100
Baxter-Holmes,Medicare,4189.62,100
Baxter-Walker,UnitedHealthcare,1708.03,100
Bean Ltd,Blue Cross,14622.62,100
Bean PLC,Cigna,16714.53,100
"Bean, Knox and Bullock",Cigna,8107.33,100
Bean-Garrett,Medicare,39057.42,100
Bean-Green,Cigna,27851.78,100
Beard Group,UnitedHealthcare,17801.79,100
"Beard, Marsh and Williams",UnitedHealthcare,21846.13,100
"Beard, Snyder and Arias",Blue Cross,23555.18,100
Beard-Church,Cigna,47233.71,100
Beard-Johnson,Cigna,47674.56,100
"Beasley, Anderson and Daniels",Aetna,6158.64,100
Beck Inc,Medicare,15597.07,100
Beck Ltd,Aetna,48533.4,100
"Beck, Anderson and Hamilton",Blue Cross,34992.7,100
"Beck, Bailey and Farrell",Medicare,8771.41,100
"Beck, Collins and Bush",Aetna,43237.63,100
"Beck, Gonzalez and Tanner",Cigna,36946,100
"Beck, Green and Johnson",Aetna,33165.53,100
"Beck, Holland and Cooper",Aetna,9881.81,100
"Beck, Nelson and Hayes",Medicare,3072.34,100
"Beck, Ortiz and Greene",UnitedHealthcare,37917.91,100
"Beck, Smith and Turner",Cigna,47257.01,100
Beck-Briggs,Blue Cross,6326.77,100
Becker Group,Cigna,36237.94,100
Becker LLC,Medicare,26200.65,100
